2026-07-01 15:29:21,976 - __main__ - INFO - {'number': 'IPT0020053', 'sys_id': '05ddcce9531410100b39ddeeff7b122c', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020085', 'sys_id': '16539421535410100b39ddeeff7b1291', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020016', 'sys_id': '33c6bb5953d010100b39ddeeff7b1208', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020057', 'sys_id': '35ee882d531410100b39ddeeff7b12cc', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020013', 'sys_id': '3b56735953d010100b39ddeeff7b12f3', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020088', 'sys_id': '4b631821535410100b39ddeeff7b120c', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020042', 'sys_id': '5e4d8ca9531410100b39ddeeff7b1272', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020015', 'sys_id': '5fb63b5953d010100b39ddeeff7b1299', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020032', 'sys_id': '744afb1d53d010100b39ddeeff7b120d', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020033', 'sys_id': '835a3f1d53d010100b39ddeeff7b12ad', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020066', 'sys_id': '895f046d531410100b39ddeeff7b125e', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020014', 'sys_id': '8b96b75953d010100b39ddeeff7b12d9', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020072', 'sys_id': '93c15cad531410100b39ddeeff7b124f', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,977 - __main__ - INFO - {'number': 'IPT0020093', 'sys_id': '9da31061535410100b39ddeeff7b12a4', 'short_description': 'Issue for event Class action law suite on account\n\t\t\tof higher interest rate charged to customer because of race\n\t\t\tdiscrimination', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020077', 'sys_id': 'a3f298ed531410100b39ddeeff7b1266', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020030', 'sys_id': 'a61ab71d53d010100b39ddeeff7b1290', 'short_description': 'Issue for event Overdraft due to input error\n\t\t', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020092', 'sys_id': 'ae935061535410100b39ddeeff7b129b', 'short_description': 'Issue for event Attack on customer personal\n\t\t\tinformation and loss of CC details\t\t', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020035', 'sys_id': 'b36abf1d53d010100b39ddeeff7b1232', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020047', 'sys_id': 'c09d44e9531410100b39ddeeff7b1254', 'short_description': 'Issue for event Inadequate or failed internal\n\t\t\tprocesses', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020031', 'sys_id': 'de3a7b1d53d010100b39ddeeff7b127d', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020012', 'sys_id': 'e336735953d010100b39ddeeff7b12ec', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020034', 'sys_id': 'e46a7f1d53d010100b39ddeeff7b1291', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020043', 'sys_id': 'f45d8ca9531410100b39ddeeff7b12cd', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020048', 'sys_id': 'f59d84e9531410100b39ddeeff7b122b', 'short_description': 'Issue for event Hacking Damage', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020075', 'sys_id': 'fde298ed531410100b39ddeeff7b1285', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020061', 'sys_id': '012fcc2d531410100b39ddeeff7b1256', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020036', 'sys_id': '042c3f5d53d010100b39ddeeff7b12d6', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020018', 'sys_id': '04b83f9953d010100b39ddeeff7b12d4', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020029', 'sys_id': '051a771d53d010100b39ddeeff7b1268', 'short_description': 'Issue for event Incentive Payments Loss\n\t\t', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020089', 'sys_id': '0683d821535410100b39ddeeff7b120d', 'short_description': 'Issue for event Bank Executive embezzles money from\n\t\t\tcustomer deposit account\t\t', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020083', 'sys_id': '0a33d021535410100b39ddeeff7b123e', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020005', 'sys_id': '0d93da2207831010e72bb5100ad300f8', 'short_description': '', 'issue_type': '', 'description': 'Bribery in different levels.'}
2026-07-01 15:29:21,978 - __main__ - INFO - {'number': 'IPT0020080', 'sys_id': '0f131021535410100b39ddeeff7b12e4', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020037', 'sys_id': '122c3f5d53d010100b39ddeeff7b1294', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020008', 'sys_id': '1465f31953d010100b39ddeeff7b1211', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020005', 'sys_id': '1635ffd553d010100b39ddeeff7b12c0', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020098', 'sys_id': '18cee8e5539410100b39ddeeff7b12a0', 'short_description': 'Consumer Durable has an indicator failure\n\t\t', 'issue_type': '', 'description': 'Consumer Durable has an indicator failure on Include the\n\t\t\tprocess of using evidential matter to test in scope controls in the\n\t\t\ttest plan.'}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020068', 'sys_id': '1da15c6d531410100b39ddeeff7b12c4', 'short_description': 'Issue for event Non-issuance of pre-maturity\n\t\t\tletters to customers', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020028', 'sys_id': '1f0a371d53d010100b39ddeeff7b12c4', 'short_description': 'Issue for event Unauthorized marking down prices\n\t\t\twith a computerized inventory system', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020059', 'sys_id': '1f0f4c2d531410100b39ddeeff7b1283', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020056', 'sys_id': '20ee482d531410100b39ddeeff7b12b6', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020097', 'sys_id': '229d2ca5539410100b39ddeeff7b12c4', 'short_description': 'ACME Consumer Durable(CD)ACME CD US has an\n\t\t\tindicator failure', 'issue_type': '', 'description': 'ACME Consumer Durable(CD)ACME CD US has an indicator\n\t\t\tfailure on Establish and maintain document handling procedures for\n\t\t\tpaper documents.'}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020099', 'sys_id': '245fe029539410100b39ddeeff7b1249', 'short_description': 'Fashion has an indicator failure\n\t\t', 'issue_type': '', 'description': 'Fashion has an indicator failure on Establish and\n\t\t\tmaintain a fire prevention and fire suppression standard.\n\t\t'}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020082', 'sys_id': '28339021535410100b39ddeeff7b126d', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020076', 'sys_id': '2cf2d8ed531410100b39ddeeff7b1263', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020006', 'sys_id': '3345731953d010100b39ddeeff7b12da', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020026', 'sys_id': '33a9ffd953d010100b39ddeeff7b12e0', 'short_description': 'Issue for event Unintentional physical damage to\n\t\t\tequipment and facilities', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020023', 'sys_id': '34f8b3d953d010100b39ddeeff7b129f', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020103', 'sys_id': '3942f8a9539410100b39ddeeff7b125b', 'short_description': 'ACME Consumer Durable(CD)ACME CD US has an\n\t\t\tindicator failure', 'issue_type': '', 'description': 'ACME Consumer Durable(CD)ACME CD US has an indicator\n\t\t\tfailure on High setup and operational cost of business'}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020007', 'sys_id': '3d55b31953d010100b39ddeeff7b128e', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020044', 'sys_id': '456d40e9531410100b39ddeeff7b1235', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020001', 'sys_id': '483455f6539010101bfbddeeff7b12c4', 'short_description': 'SAP Financial Accounting has a control test failure', 'issue_type': '', 'description': 'SAP Financial Accounting has control test failure on control Manage changes.'}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020004', 'sys_id': '4915bfd553d010100b39ddeeff7b1245', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,979 - __main__ - INFO - {'number': 'IPT0020105', 'sys_id': '4dc234e9539410100b39ddeeff7b12d2', 'short_description': 'Consumer Durable has an indicator failure\n\t\t', 'issue_type': '', 'description': 'Consumer Durable has an indicator failure on Indulgence\n\t\t\tin predatory pricing strategy'}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020022', 'sys_id': '50e833d953d010100b39ddeeff7b12df', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020079', 'sys_id': '55131021535410100b39ddeeff7b1254', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020051', 'sys_id': '55cdc8e9531410100b39ddeeff7b12e2', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020054', 'sys_id': '56de082d531410100b39ddeeff7b12ad', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020106', 'sys_id': '5823b8e9539410100b39ddeeff7b12c6', 'short_description': 'Consumer Durable has an indicator failure\n\t\t', 'issue_type': '', 'description': 'Consumer Durable has an indicator failure on Product\n\t\t\tRisks and Due Diligence'}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020007', 'sys_id': '5ed39aa207831010e72bb5100ad30097', 'short_description': '', 'issue_type': '', 'description': 'Favouritism for a particular customer'}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020025', 'sys_id': '6a79b7d953d010100b39ddeeff7b1248', 'short_description': 'Issue for event Data Compromise', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020046', 'sys_id': '6b6d80e9531410100b39ddeeff7b12c2', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020111', 'sys_id': '7074b06d539410100b39ddeeff7b12da', 'short_description': 'Food and Beverage has an indicator failure\n\t\t', 'issue_type': '', 'description': 'Food and Beverage has an indicator failure on Increased\n\t\t\tCompetition'}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020041', 'sys_id': '723d0ca9531410100b39ddeeff7b1280', 'short_description': '', 'issue_type': '', 'description': ''}
